business_area,address,address_2,city,state,zipcode,phone,latitude,longitude,facility_summary
Motion - NEMA Motors,3560 Scarlet Oak Blvd.,,St. Louis,MO,63122,,38.5633829,-90.4628018,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2147&LanguageCode=en&DocumentPartId=&Action=Launch
Motion - NEMA Motors,70 Industrial Park Access Rd.,,Columbus,MS,39701,,33.4766789,-88.4462243,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2008&LanguageCode=en&DocumentPartId=&Action=Launch
Motion - NEMA Motors,305 Ballman Street,,Westville,OK,74965,,35.997282,-94.569259,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2066&LanguageCode=en&DocumentPartId=&Action=Launch
Process Automation - Energy Industries,3700 W Sam Houston Pkwy South,,Houston,TX,77042,1 713 453 1253,29.7241406,-95.5613925,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2013&LanguageCode=en&DocumentPartId=&Action=Launch
Process Automation - Energy Industries & Services,23000 Harvard Rd.,,Highland Hills,OH,44122,,41.4507944,-81.5179198,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2006&LanguageCode=en&DocumentPartId=&Action=Launch
Process Automation - Marine & Ports,11600 Miramar Parkway,,Miramar,FL,33025,1 954 450 8957,25.9764205,-80.3066297,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2060&LanguageCode=en&DocumentPartId=&Action=Launch
Process Automation - Measurement & Analytics,7051 Industrial Boulevard,,Bartlesville,OK,74006,,36.7309489,-95.8979426,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2136&LanguageCode=en&DocumentPartId=&Action=Launch
Process Automation - Process Industries,579 Executive Campus Dr.,,Westerville,OH,74965,1 614 818 6300,40.1411783,-82.9525125,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2152&LanguageCode=en&DocumentPartId=&Action=Launch
Robotics & Discrete Automation - Robotics,1250 Brown Road,,Auburn Hills,MI,48326,1 248 391 9000,42.7058958,-83.2781151,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2002&LanguageCode=en&DocumentPartId=&Action=Launch
US Corporate Headquarters,305 Gregson Dr.,,Cary,NC,27511,1 919 856 2360,35.7321409,-78.80921,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2005&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Smart Buildings,501 Locust Ave,Suite 2,Charlottesville,VA,22902,,38.033171,-78.471744,
Motion - NEMA Motors,8440 Times Dispatch Blvd,,Mechanicsville,VA,23116,,37.637892,-77.399121,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108472A1613&LanguageCode=en&DocumentPartId=&Action=Launch
